TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2753	0.5506	-0.058943	-0.0821544	-0.0597989	-0.0582072	-0.0597066	-0.0580042
2754	0.5508	-0.0589899	-0.0820908	-0.0597947	-0.0582124	-0.0597165	-0.0579902
2755	0.551	-0.0590376	-0.0820263	-0.0597904	-0.0582176	-0.0597265	-0.0579761
2756	0.5512	-0.0590861	-0.0819607	-0.0597861	-0.058223	-0.0597364	-0.0579619
2757	0.5514	-0.0591354	-0.0818942	-0.0597817	-0.0582283	-0.0597465	-0.0579476
2758	0.5516	-0.0591854	-0.0818267	-0.0597772	-0.0582338	-0.0597565	-0.0579332
2759	0.5518	-0.0592363	-0.0817583	-0.0597727	-0.0582393	-0.0597666	-0.0579187
2760	0.552	-0.0592881	-0.0816889	-0.0597681	-0.0582449	-0.0597766	-0.0579041
2761	0.5522	-0.0593406	-0.0816184	-0.0597634	-0.0582506	-0.0597868	-0.0578894
2762	0.5524	-0.059394	-0.0815469	-0.0597587	-0.0582564	-0.0597969	-0.0578746
2763	0.5526	-0.0594482	-0.0814743	-0.0597539	-0.0582622	-0.0598071	-0.0578597
2764	0.5528	-0.0595032	-0.0814008	-0.059749	-0.0582681	-0.0598173	-0.0578446
2765	0.553	-0.0595591	-0.0813261	-0.0597441	-0.058274	-0.0598275	-0.0578295
2766	0.5532	-0.0596159	-0.0812504	-0.0597391	-0.0582801	-0.0598377	-0.0578142
2767	0.5534	-0.0596735	-0.0811735	-0.059734	-0.0582862	-0.059848	-0.0577989
2768	0.5536	-0.0597321	-0.0810956	-0.0597289	-0.0582923	-0.0598583	-0.0577834
2769	0.5538	-0.0597915	-0.0810165	-0.0597237	-0.0582986	-0.0598686	-0.0577678
2770	0.554	-0.0598518	-0.0809364	-0.0597184	-0.0583049	-0.059879	-0.0577522
2771	0.5542	-0.059913	-0.0808551	-0.059713	-0.0583113	-0.0598894	-0.0577364
