TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
120	0.024	-0.0604777	-0.0606296	-0.0599987	-0.0599979	-0.0599643	-0.0592287	-0.0910205	-0.0968803	-0.0566302	-0.0570428
121	0.0242	-0.0604743	-0.060632	-0.0599987	-0.0599979	-0.0599657	-0.0592351	-0.0909136	-0.0969186	-0.0566091	-0.057032
122	0.0244	-0.0604709	-0.0606343	-0.0599987	-0.0599979	-0.0599671	-0.0592412	-0.0908049	-0.0969552	-0.0565876	-0.0570211
123	0.0246	-0.0604675	-0.0606367	-0.0599987	-0.0599979	-0.0599684	-0.0592472	-0.0906942	-0.0969902	-0.0565657	-0.0570099
124	0.0248	-0.060464	-0.060639	-0.0599987	-0.0599979	-0.0599696	-0.0592528	-0.0905819	-0.0970229	-0.0565433	-0.0569986
125	0.025	-0.0604606	-0.0606409	-0.0599987	-0.0599979	-0.0599708	-0.0592593	-0.0904679	-0.0970448	-0.0565206	-0.0569871
126	0.0252	-0.0604572	-0.0606424	-0.0599987	-0.0599979	-0.059972	-0.0592654	-0.0903526	-0.0970565	-0.0564975	-0.0569755
127	0.0254	-0.0604537	-0.0606435	-0.0599987	-0.0599979	-0.059973	-0.0592713	-0.0902359	-0.097059	-0.056474	-0.0569636
128	0.0256	-0.0604503	-0.0606443	-0.0599987	-0.0599979	-0.0599741	-0.059277	-0.090118	-0.097053	-0.0564502	-0.0569514
129	0.0258	-0.060447	-0.0606447	-0.0599987	-0.0599979	-0.0599751	-0.0592824	-0.0899991	-0.0970391	-0.056426	-0.056939
130	0.026	-0.0604436	-0.0606449	-0.0599987	-0.0599979	-0.0599761	-0.0592885	-0.0898794	-0.097018	-0.0564016	-0.0569263
131	0.0262	-0.0604403	-0.0606449	-0.0599987	-0.0599979	-0.059977	-0.0592944	-0.0897589	-0.0969904	-0.0563768	-0.0569134
