TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
313	0.0626	-0.0593183	-0.0591703	-0.0596143	-0.0593443
314	0.0628	-0.0593221	-0.0591641	-0.059617	-0.0593398
315	0.063	-0.0593259	-0.0591579	-0.0596197	-0.0593353
316	0.0632	-0.0593297	-0.0591517	-0.0596224	-0.0593307
317	0.0634	-0.0593335	-0.0591455	-0.0596251	-0.0593262
318	0.0636	-0.0593373	-0.0591393	-0.0596278	-0.0593216
319	0.0638	-0.0593411	-0.0591331	-0.0596305	-0.059317
320	0.064	-0.0593449	-0.0591268	-0.0596332	-0.0593124
321	0.0642	-0.0593488	-0.0591206	-0.059636	-0.0593079
322	0.0644	-0.0593526	-0.0591143	-0.0596387	-0.0593033
323	0.0646	-0.0593564	-0.059108	-0.0596414	-0.0592987
324	0.0648	-0.0593603	-0.0591017	-0.0596442	-0.059294
325	0.065	-0.0593642	-0.0590954	-0.059647	-0.0592894
326	0.0652	-0.059368	-0.0590891	-0.0596497	-0.0592848
327	0.0654	-0.0593719	-0.0590828	-0.0596525	-0.0592801
328	0.0656	-0.0593758	-0.0590765	-0.0596553	-0.0592755
329	0.0658	-0.0593797	-0.0590701	-0.0596581	-0.0592708
330	0.066	-0.0593836	-0.0590638	-0.0596609	-0.0592662
331	0.0662	-0.0593876	-0.0590574	-0.0596637	-0.0592615
332	0.0664	-0.0593915	-0.059051	-0.0596665	-0.0592568
333	0.0666	-0.0593954	-0.0590446	-0.0596693	-0.0592521
334	0.0668	-0.0593994	-0.0590382	-0.0596721	-0.0592474
335	0.067	-0.0594033	-0.0590318	-0.059675	-0.0592427
336	0.0672	-0.0594073	-0.0590254	-0.0596778	-0.059238
337	0.0674	-0.0594113	-0.059019	-0.0596807	-0.0592332
338	0.0676	-0.0594153	-0.0590125	-0.0596835	-0.0592285
339	0.0678	-0.0594193	-0.0590061	-0.0596864	-0.0592238
340	0.068	-0.0594233	-0.0589996	-0.0596892	-0.059219
341	0.0682	-0.0594273	-0.0589932	-0.0596921	-0.0592142
342	0.0684	-0.0594314	-0.0589867	-0.059695	-0.0592095
343	0.0686	-0.0594354	-0.0589802	-0.0596979	-0.0592047
344	0.0688	-0.0594395	-0.0589737	-0.0597008	-0.0591999
345	0.069	-0.0594435	-0.0589672	-0.0597037	-0.0591951
346	0.0692	-0.0594476	-0.0589607	-0.0597066	-0.0591903
347	0.0694	-0.0594517	-0.0589542	-0.0597095	-0.0591854
348	0.0696	-0.0594558	-0.0589476	-0.0597125	-0.0591806
349	0.0698	-0.0594599	-0.0589411	-0.0597154	-0.0591757
350	0.07	-0.059464	-0.0589345	-0.0597183	-0.0591709
351	0.0702	-0.0594681	-0.058928	-0.0597213	-0.059166
352	0.0704	-0.0594723	-0.0589214	-0.0597242	-0.0591612
353	0.0706	-0.0594764	-0.0589148	-0.0597272	-0.0591563
354	0.0708	-0.0594806	-0.0589082	-0.0597301	-0.0591514
355	0.071	-0.0594848	-0.0589016	-0.0597331	-0.0591465
356	0.0712	-0.0594889	-0.058895	-0.0597361	-0.0591416
357	0.0714	-0.0594931	-0.0588884	-0.0597391	-0.0591366
358	0.0716	-0.0594974	-0.0588818	-0.0597421	-0.0591317
359	0.0718	-0.0595016	-0.0588751	-0.0597451	-0.0591268
360	0.072	-0.0595058	-0.0588685	-0.0597481	-0.0591218
361	0.0722	-0.05951	-0.0588618	-0.0597511	-0.0591168
362	0.0724	-0.0595143	-0.0588552	-0.0597541	-0.0591119
363	0.0726	-0.0595186	-0.0588485	-0.0597571	-0.0591069
364	0.0728	-0.0595228	-0.0588418	-0.0597601	-0.0591019
365	0.073	-0.0595271	-0.0588351	-0.0597632	-0.0590969
366	0.0732	-0.0595314	-0.0588284	-0.0597662	-0.0590918
367	0.0734	-0.0595357	-0.0588217	-0.0597693	-0.0590868
368	0.0736	-0.0595401	-0.058815	-0.0597723	-0.0590818
369	0.0738	-0.0595444	-0.0588083	-0.0597754	-0.0590767
370	0.074	-0.0595487	-0.0588015	-0.0597784	-0.0590716
371	0.0742	-0.0595531	-0.0587948	-0.0597815	-0.0590666
372	0.0744	-0.0595574	-0.058788	-0.0597846	-0.0590615
373	0.0746	-0.0595618	-0.0587812	-0.0597877	-0.0590564
374	0.0748	-0.0595662	-0.0587744	-0.0597908	-0.0590513
375	0.075	-0.0595706	-0.0587677	-0.0597939	-0.0590461
376	0.0752	-0.059575	-0.0587609	-0.059797	-0.059041
377	0.0754	-0.0595794	-0.058754	-0.0598001	-0.0590359
378	0.0756	-0.0595839	-0.0587472	-0.0598032	-0.0590307
379	0.0758	-0.0595883	-0.0587404	-0.0598063	-0.0590255
380	0.076	-0.0595928	-0.0587336	-0.0598094	-0.0590204
381	0.0762	-0.0595972	-0.0587267	-0.0598125	-0.0590152
382	0.0764	-0.0596017	-0.0587198	-0.0598157	-0.05901
383	0.0766	-0.0596062	-0.058713	-0.0598188	-0.0590048
384	0.0768	-0.0596107	-0.0587061	-0.059822	-0.0589995
385	0.077	-0.0596152	-0.0586992	-0.0598251	-0.0589943
386	0.0772	-0.0596197	-0.0586923	-0.0598283	-0.058989
387	0.0774	-0.0596243	-0.0586854	-0.0598314	-0.0589838
388	0.0776	-0.0596288	-0.0586785	-0.0598346	-0.0589785
389	0.0778	-0.0596334	-0.0586715	-0.0598378	-0.0589732
390	0.078	-0.0596379	-0.0586646	-0.059841	-0.0589679
391	0.0782	-0.0596425	-0.0586576	-0.0598441	-0.0589626
392	0.0784	-0.0596471	-0.0586507	-0.0598473	-0.0589573
393	0.0786	-0.0596517	-0.0586437	-0.0598505	-0.0589519
394	0.0788	-0.0596563	-0.0586367	-0.0598537	-0.0589466
395	0.079	-0.0596609	-0.0586297	-0.059857	-0.0589412
396	0.0792	-0.0596656	-0.0586227	-0.0598602	-0.0589359
397	0.0794	-0.0596702	-0.0586157	-0.0598634	-0.0589305
398	0.0796	-0.0596749	-0.0586087	-0.0598666	-0.0589251
399	0.0798	-0.0596795	-0.0586016	-0.0598698	-0.0589197
