TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
158	0.0316	-0.0603526	-0.0606678	-0.0599986	-0.0599979	-0.0591142	-0.0599929	-0.0879724	-0.0932016	-0.0558257	-0.0562336
159	0.0318	-0.060352	-0.0606685	-0.0599986	-0.0599979	-0.0591181	-0.0599932	-0.0878693	-0.0931467	-0.0557984	-0.0562137
160	0.032	-0.0603516	-0.0606693	-0.0599986	-0.0599979	-0.0591228	-0.0599934	-0.0877678	-0.0930935	-0.0557711	-0.0561938
161	0.0322	-0.0603512	-0.0606702	-0.0599986	-0.0599979	-0.0591273	-0.0599937	-0.0876679	-0.093042	-0.0557439	-0.0561739
162	0.0324	-0.060351	-0.0606712	-0.0599986	-0.0599979	-0.0591316	-0.0599939	-0.0875697	-0.0929922	-0.0557167	-0.0561539
163	0.0326	-0.0603508	-0.0606724	-0.0599986	-0.0599979	-0.0591358	-0.0599942	-0.087473	-0.0929441	-0.0556896	-0.056134
164	0.0328	-0.0603508	-0.0606737	-0.0599986	-0.0599979	-0.0591398	-0.0599944	-0.087378	-0.0928977	-0.0556625	-0.0561141
165	0.033	-0.0603509	-0.060675	-0.0599986	-0.0599979	-0.0591445	-0.0599946	-0.0872845	-0.0928531	-0.0556354	-0.0560942
166	0.0332	-0.0603511	-0.0606765	-0.0599986	-0.0599979	-0.0591491	-0.0599948	-0.0871926	-0.0928102	-0.0556084	-0.0560743
167	0.0334	-0.0603515	-0.0606781	-0.0599986	-0.0599979	-0.0591535	-0.059995	-0.0871022	-0.0927691	-0.0555815	-0.0560544
168	0.0336	-0.0603519	-0.0606798	-0.0599986	-0.0599979	-0.0591577	-0.0599952	-0.0870132	-0.0927297	-0.0555547	-0.0560346
169	0.0338	-0.0603524	-0.0606816	-0.0599986	-0.0599979	-0.0591618	-0.0599954	-0.0869257	-0.092692	-0.0555279	-0.0560149
170	0.034	-0.060353	-0.0606835	-0.0599986	-0.0599979	-0.0591666	-0.0599956	-0.0868397	-0.0926559	-0.0555012	-0.0559951
