TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
2244	0.4488	-0.06	-0.056611	-0.0608733	-0.0574512
2245	0.449	-0.06	-0.0566134	-0.0608705	-0.0574533
2246	0.4492	-0.06	-0.0566159	-0.0608677	-0.0574553
2247	0.4494	-0.06	-0.0566184	-0.060865	-0.0574573
2248	0.4496	-0.06	-0.0566208	-0.0608622	-0.0574594
2249	0.4498	-0.06	-0.0566233	-0.0608594	-0.0574614
2250	0.45	-0.06	-0.0566257	-0.0608566	-0.0574634
2251	0.4502	-0.06	-0.0566281	-0.0608539	-0.0574654
2252	0.4504	-0.06	-0.0566305	-0.0608512	-0.0574674
2253	0.4506	-0.06	-0.0566329	-0.0608484	-0.0574694
2254	0.4508	-0.06	-0.0566353	-0.0608457	-0.0574714
2255	0.451	-0.06	-0.0566377	-0.060843	-0.0574733
2256	0.4512	-0.06	-0.0566401	-0.0608403	-0.0574753
2257	0.4514	-0.06	-0.0566424	-0.0608376	-0.0574772
2258	0.4516	-0.06	-0.0566447	-0.0608349	-0.0574791
2259	0.4518	-0.06	-0.0566471	-0.0608322	-0.0574811
2260	0.452	-0.06	-0.0566494	-0.0608295	-0.057483
2261	0.4522	-0.06	-0.0566517	-0.0608269	-0.0574849
2262	0.4524	-0.06	-0.056654	-0.0608242	-0.0574868
2263	0.4526	-0.06	-0.0566563	-0.0608216	-0.0574887
2264	0.4528	-0.06	-0.0566586	-0.060819	-0.0574906
2265	0.453	-0.06	-0.0566608	-0.0608163	-0.0574924
2266	0.4532	-0.06	-0.0566631	-0.0608137	-0.0574943
2267	0.4534	-0.06	-0.0566653	-0.0608111	-0.0574962
2268	0.4536	-0.06	-0.0566676	-0.0608085	-0.057498
2269	0.4538	-0.06	-0.0566698	-0.0608059	-0.0574998
2270	0.454	-0.06	-0.056672	-0.0608033	-0.0575017
2271	0.4542	-0.06	-0.0566742	-0.0608008	-0.0575035
2272	0.4544	-0.06	-0.0566764	-0.0607982	-0.0575053
2273	0.4546	-0.06	-0.0566786	-0.0607956	-0.0575071
2274	0.4548	-0.06	-0.0566808	-0.0607931	-0.0575089
2275	0.455	-0.06	-0.056683	-0.0607905	-0.0575107
2276	0.4552	-0.06	-0.0566851	-0.060788	-0.0575125
2277	0.4554	-0.06	-0.0566873	-0.0607855	-0.0575142
2278	0.4556	-0.06	-0.0566894	-0.060783	-0.057516
2279	0.4558	-0.06	-0.0566915	-0.0607805	-0.0575177
2280	0.456	-0.06	-0.0566936	-0.060778	-0.0575195
2281	0.4562	-0.06	-0.0566958	-0.0607755	-0.0575212
2282	0.4564	-0.06	-0.0566978	-0.060773	-0.057523
2283	0.4566	-0.06	-0.0566999	-0.0607705	-0.0575247
2284	0.4568	-0.06	-0.056702	-0.0607681	-0.0575264
2285	0.457	-0.06	-0.0567041	-0.0607656	-0.0575281
2286	0.4572	-0.06	-0.0567062	-0.0607632	-0.0575298
2287	0.4574	-0.06	-0.0567082	-0.0607607	-0.0575315
2288	0.4576	-0.06	-0.0567103	-0.0607583	-0.0575332
2289	0.4578	-0.06	-0.0567123	-0.0607559	-0.0575348
2290	0.458	-0.06	-0.0567143	-0.0607535	-0.0575365
2291	0.4582	-0.06	-0.0567163	-0.0607511	-0.0575382
2292	0.4584	-0.06	-0.0567183	-0.0607487	-0.0575398
2293	0.4586	-0.06	-0.0567203	-0.0607463	-0.0575415
2294	0.4588	-0.06	-0.0567223	-0.0607439	-0.0575431
2295	0.459	-0.06	-0.0567243	-0.0607415	-0.0575447
2296	0.4592	-0.06	-0.0567263	-0.0607392	-0.0575464
2297	0.4594	-0.06	-0.0567282	-0.0607368	-0.057548
2298	0.4596	-0.06	-0.0567302	-0.0607344	-0.0575496
2299	0.4598	-0.06	-0.0567322	-0.0607321	-0.0575512
2300	0.46	-0.06	-0.0567341	-0.0607298	-0.0575528
2301	0.4602	-0.06	-0.056736	-0.0607274	-0.0575544
2302	0.4604	-0.06	-0.0567379	-0.0607251	-0.0575559
2303	0.4606	-0.06	-0.0567399	-0.0607228	-0.0575575
2304	0.4608	-0.06	-0.0567418	-0.0607205	-0.0575591
