TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
147	0.0294	-0.0579437	-0.0578373	-0.0576028	-0.0573066	-0.0584885	-0.0599291	-0.0903935	-0.0907738	-0.0560237	-0.0563463
148	0.0296	-0.0579418	-0.0578364	-0.0576026	-0.0573049	-0.0585051	-0.0599319	-0.090293	-0.0907646	-0.0560076	-0.0563202
149	0.0298	-0.05794	-0.0578357	-0.0576023	-0.0573033	-0.0585211	-0.0599345	-0.0901938	-0.0907559	-0.0559915	-0.056294
150	0.03	-0.0579383	-0.0578351	-0.0576021	-0.0573015	-0.0585388	-0.0599371	-0.0900959	-0.0907477	-0.0559754	-0.0562677
151	0.0302	-0.0579367	-0.0578348	-0.0576018	-0.0572998	-0.0585557	-0.0599396	-0.0899995	-0.0907404	-0.0559593	-0.0562413
152	0.0304	-0.0579351	-0.0578346	-0.0576016	-0.0572982	-0.058572	-0.0599419	-0.0899046	-0.0907341	-0.0559431	-0.0562149
153	0.0306	-0.0579337	-0.0578346	-0.0576014	-0.0572966	-0.0585877	-0.0599442	-0.0898111	-0.0907287	-0.0559269	-0.0561884
154	0.0308	-0.0579324	-0.0578347	-0.0576012	-0.0572951	-0.0586027	-0.0599464	-0.0897191	-0.0907242	-0.0559108	-0.0561619
155	0.031	-0.0579312	-0.057835	-0.057601	-0.0572935	-0.0586192	-0.0599485	-0.0896286	-0.0907206	-0.0558946	-0.0561353
156	0.0312	-0.0579301	-0.0578354	-0.0576008	-0.0572919	-0.058635	-0.0599505	-0.0895396	-0.0907182	-0.0558785	-0.0561087
157	0.0314	-0.0579291	-0.057836	-0.0576006	-0.0572904	-0.0586502	-0.0599525	-0.0894521	-0.0907169	-0.0558624	-0.0560821
158	0.0316	-0.0579282	-0.0578367	-0.0576004	-0.057289	-0.0586648	-0.0599543	-0.089366	-0.0907167	-0.0558463	-0.0560555
159	0.0318	-0.0579274	-0.0578376	-0.0576003	-0.0572876	-0.0586788	-0.0599561	-0.0892815	-0.0907176	-0.0558302	-0.0560289
160	0.032	-0.0579267	-0.0578386	-0.0576001	-0.0572861	-0.0586941	-0.0599578	-0.0891984	-0.0907195	-0.0558142	-0.0560022
161	0.0322	-0.0579261	-0.0578398	-0.0576	-0.0572847	-0.0587088	-0.0599595	-0.0891167	-0.0907227	-0.0557982	-0.0559756
162	0.0324	-0.0579256	-0.057841	-0.0575998	-0.0572833	-0.0587228	-0.0599611	-0.0890365	-0.090727	-0.0557822	-0.055949
163	0.0326	-0.0579252	-0.0578424	-0.0575997	-0.057282	-0.0587364	-0.0599626	-0.0889576	-0.0907324	-0.0557663	-0.0559225
164	0.0328	-0.0579249	-0.0578439	-0.0575995	-0.0572807	-0.0587494	-0.0599641	-0.0888802	-0.0907389	-0.0557504	-0.0558959
165	0.033	-0.0579247	-0.0578455	-0.0575994	-0.0572794	-0.0587635	-0.0599655	-0.088804	-0.0907463	-0.0557346	-0.0558694
166	0.0332	-0.0579246	-0.0578472	-0.0575993	-0.057278	-0.058777	-0.0599668	-0.0887291	-0.0907549	-0.0557188	-0.0558429
167	0.0334	-0.0579246	-0.057849	-0.0575991	-0.0572768	-0.05879	-0.0599681	-0.0886555	-0.0907646	-0.0557031	-0.0558165
168	0.0336	-0.0579247	-0.0578509	-0.057599	-0.0572756	-0.0588025	-0.0599694	-0.0885831	-0.0907752	-0.0556875	-0.0557901
169	0.0338	-0.0579248	-0.0578529	-0.0575989	-0.0572744	-0.0588146	-0.0599706	-0.0885119	-0.0907868	-0.0556719	-0.0557638
170	0.034	-0.0579251	-0.057855	-0.0575988	-0.0572731	-0.0588275	-0.0599717	-0.0884418	-0.0907992	-0.0556563	-0.0557375
171	0.0342	-0.0579254	-0.0578572	-0.0575987	-0.0572719	-0.05884	-0.0599728	-0.0883729	-0.0908126	-0.0556409	-0.0557113
172	0.0344	-0.0579258	-0.0578594	-0.0575986	-0.0572708	-0.0588519	-0.0599739	-0.0883049	-0.090827	-0.0556255	-0.0556852
173	0.0346	-0.0579263	-0.0578617	-0.0575985	-0.0572697	-0.0588634	-0.0599749	-0.088238	-0.0908421	-0.0556102	-0.0556591
174	0.0348	-0.0579268	-0.0578641	-0.0575984	-0.0572686	-0.0588745	-0.0599759	-0.0881721	-0.090858	-0.0555949	-0.055633
175	0.035	-0.0579275	-0.0578666	-0.0575983	-0.0572674	-0.0588864	-0.0599769	-0.088107	-0.0908746	-0.0555797	-0.055607
