TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14613	2.9226	-0.06	-0.0570296	-0.0603003	-0.0577941
14614	2.9228	-0.06	-0.0570303	-0.0602993	-0.0577948
14615	2.923	-0.06	-0.0570311	-0.0602982	-0.0577954
14616	2.9232	-0.06	-0.0570319	-0.0602972	-0.057796
14617	2.9234	-0.06	-0.0570327	-0.0602962	-0.0577966
14618	2.9236	-0.06	-0.0570334	-0.0602952	-0.0577973
14619	2.9238	-0.06	-0.0570342	-0.0602941	-0.0577979
14620	2.924	-0.06	-0.057035	-0.0602931	-0.0577985
14621	2.9242	-0.06	-0.0570357	-0.0602921	-0.0577991
14622	2.9244	-0.06	-0.0570365	-0.0602911	-0.0577997
14623	2.9246	-0.06	-0.0570372	-0.0602901	-0.0578004
14624	2.9248	-0.06	-0.057038	-0.0602891	-0.057801
14625	2.925	-0.06	-0.0570388	-0.0602881	-0.0578016
14626	2.9252	-0.06	-0.0570395	-0.0602871	-0.0578022
14627	2.9254	-0.06	-0.0570403	-0.0602861	-0.0578028
14628	2.9256	-0.06	-0.057041	-0.0602851	-0.0578034
14629	2.9258	-0.06	-0.0570417	-0.0602841	-0.057804
14630	2.926	-0.06	-0.0570425	-0.0602832	-0.0578046
14631	2.9262	-0.06	-0.0570432	-0.0602822	-0.0578052
14632	2.9264	-0.06	-0.0570439	-0.0602812	-0.0578058
14633	2.9266	-0.06	-0.0570447	-0.0602802	-0.0578064
14634	2.9268	-0.06	-0.0570454	-0.0602792	-0.057807
14635	2.927	-0.06	-0.0570461	-0.0602783	-0.0578075
14636	2.9272	-0.06	-0.0570468	-0.0602773	-0.0578081
14637	2.9274	-0.06	-0.0570476	-0.0602763	-0.0578087
14638	2.9276	-0.06	-0.0570483	-0.0602754	-0.0578093
14639	2.9278	-0.06	-0.057049	-0.0602744	-0.0578099
14640	2.928	-0.06	-0.0570497	-0.0602735	-0.0578105
14641	2.9282	-0.06	-0.0570504	-0.0602725	-0.057811
14642	2.9284	-0.06	-0.0570511	-0.0602716	-0.0578116
14643	2.9286	-0.06	-0.0570518	-0.0602706	-0.0578122
14644	2.9288	-0.06	-0.0570525	-0.0602697	-0.0578127
14645	2.929	-0.06	-0.0570532	-0.0602687	-0.0578133
14646	2.9292	-0.06	-0.0570539	-0.0602678	-0.0578139
14647	2.9294	-0.06	-0.0570546	-0.0602669	-0.0578144
14648	2.9296	-0.06	-0.0570553	-0.0602659	-0.057815
14649	2.9298	-0.06	-0.057056	-0.060265	-0.0578156
14650	2.93	-0.06	-0.0570567	-0.0602641	-0.0578161
14651	2.9302	-0.06	-0.0570574	-0.0602632	-0.0578167
14652	2.9304	-0.06	-0.0570581	-0.0602622	-0.0578172
14653	2.9306	-0.06	-0.0570588	-0.0602613	-0.0578178
14654	2.9308	-0.06	-0.0570594	-0.0602604	-0.0578183
14655	2.931	-0.06	-0.0570601	-0.0602595	-0.0578189
14656	2.9312	-0.06	-0.0570608	-0.0602586	-0.0578194
14657	2.9314	-0.06	-0.0570615	-0.0602577	-0.0578199
14658	2.9316	-0.06	-0.0570621	-0.0602568	-0.0578205
14659	2.9318	-0.06	-0.0570628	-0.0602559	-0.057821
14660	2.932	-0.06	-0.0570635	-0.060255	-0.0578216
14661	2.9322	-0.06	-0.0570641	-0.0602541	-0.0578221
14662	2.9324	-0.06	-0.0570648	-0.0602532	-0.0578226
14663	2.9326	-0.06	-0.0570654	-0.0602523	-0.0578232
14664	2.9328	-0.06	-0.0570661	-0.0602514	-0.0578237
14665	2.933	-0.06	-0.0570668	-0.0602506	-0.0578242
14666	2.9332	-0.06	-0.0570674	-0.0602497	-0.0578247
14667	2.9334	-0.06	-0.0570681	-0.0602488	-0.0578253
14668	2.9336	-0.06	-0.0570687	-0.0602479	-0.0578258
14669	2.9338	-0.06	-0.0570694	-0.0602471	-0.0578263
14670	2.934	-0.06	-0.05707	-0.0602462	-0.0578268
14671	2.9342	-0.06	-0.0570706	-0.0602453	-0.0578273
14672	2.9344	-0.06	-0.0570713	-0.0602445	-0.0578278
14673	2.9346	-0.06	-0.0570719	-0.0602436	-0.0578284
14674	2.9348	-0.06	-0.0570725	-0.0602427	-0.0578289
14675	2.935	-0.06	-0.0570732	-0.0602419	-0.0578294
14676	2.9352	-0.06	-0.0570738	-0.060241	-0.0578299
14677	2.9354	-0.06	-0.0570744	-0.0602402	-0.0578304
14678	2.9356	-0.06	-0.057075	-0.0602393	-0.0578309
14679	2.9358	-0.06	-0.0570757	-0.0602385	-0.0578314
14680	2.936	-0.06	-0.0570763	-0.0602377	-0.0578319
14681	2.9362	-0.06	-0.0570769	-0.0602368	-0.0578324
14682	2.9364	-0.06	-0.0570775	-0.060236	-0.0578329
14683	2.9366	-0.06	-0.0570781	-0.0602352	-0.0578334
14684	2.9368	-0.06	-0.0570787	-0.0602343	-0.0578338
14685	2.937	-0.06	-0.0570793	-0.0602335	-0.0578343
14686	2.9372	-0.06	-0.0570799	-0.0602327	-0.0578348
14687	2.9374	-0.06	-0.0570806	-0.0602318	-0.0578353
14688	2.9376	-0.06	-0.0570812	-0.060231	-0.0578358
14689	2.9378	-0.06	-0.0570818	-0.0602302	-0.0578363
14690	2.938	-0.06	-0.0570824	-0.0602294	-0.0578367
14691	2.9382	-0.06	-0.0570829	-0.0602286	-0.0578372
14692	2.9384	-0.06	-0.0570835	-0.0602278	-0.0578377
14693	2.9386	-0.06	-0.0570841	-0.060227	-0.0578382
14694	2.9388	-0.06	-0.0570847	-0.0602262	-0.0578386
14695	2.939	-0.06	-0.0570853	-0.0602254	-0.0578391
14696	2.9392	-0.06	-0.0570859	-0.0602246	-0.0578396
14697	2.9394	-0.06	-0.0570865	-0.0602238	-0.05784
14698	2.9396	-0.06	-0.057087	-0.060223	-0.0578405
14699	2.9398	-0.06	-0.0570876	-0.0602222	-0.057841
14700	2.94	-0.06	-0.0570882	-0.0602214	-0.0578414
14701	2.9402	-0.06	-0.0570888	-0.0602206	-0.0578419
14702	2.9404	-0.06	-0.0570893	-0.0602198	-0.0578423
14703	2.9406	-0.06	-0.0570899	-0.0602191	-0.0578428
14704	2.9408	-0.06	-0.0570905	-0.0602183	-0.0578433
14705	2.941	-0.06	-0.057091	-0.0602175	-0.0578437
14706	2.9412	-0.06	-0.0570916	-0.0602167	-0.0578442
14707	2.9414	-0.06	-0.0570922	-0.060216	-0.0578446
14708	2.9416	-0.06	-0.0570927	-0.0602152	-0.057845
14709	2.9418	-0.06	-0.0570933	-0.0602144	-0.0578455
14710	2.942	-0.06	-0.0570938	-0.0602137	-0.0578459
14711	2.9422	-0.06	-0.0570944	-0.0602129	-0.0578464
14712	2.9424	-0.06	-0.0570949	-0.0602122	-0.0578468
14713	2.9426	-0.06	-0.0570955	-0.0602114	-0.0578473
14714	2.9428	-0.06	-0.057096	-0.0602107	-0.0578477
14715	2.943	-0.06	-0.0570966	-0.0602099	-0.0578481
14716	2.9432	-0.06	-0.0570971	-0.0602092	-0.0578486
14717	2.9434	-0.06	-0.0570977	-0.0602084	-0.057849
14718	2.9436	-0.06	-0.0570982	-0.0602077	-0.0578494
14719	2.9438	-0.06	-0.0570987	-0.0602069	-0.0578498
14720	2.944	-0.06	-0.0570993	-0.0602062	-0.0578503
14721	2.9442	-0.06	-0.0570998	-0.0602055	-0.0578507
14722	2.9444	-0.06	-0.0571003	-0.0602047	-0.0578511
14723	2.9446	-0.06	-0.0571008	-0.060204	-0.0578515
14724	2.9448	-0.06	-0.0571014	-0.0602033	-0.057852
14725	2.945	-0.06	-0.0571019	-0.0602026	-0.0578524
14726	2.9452	-0.06	-0.0571024	-0.0602019	-0.0578528
14727	2.9454	-0.06	-0.0571029	-0.0602011	-0.0578532
14728	2.9456	-0.06	-0.0571035	-0.0602004	-0.0578536
14729	2.9458	-0.06	-0.057104	-0.0601997	-0.057854
14730	2.946	-0.06	-0.0571045	-0.060199	-0.0578544
14731	2.9462	-0.06	-0.057105	-0.0601983	-0.0578548
14732	2.9464	-0.06	-0.0571055	-0.0601976	-0.0578552
