TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
140	0.028	-0.0601352	-0.0606447	-0.0599987	-0.0599979	-0.0599846	-0.0581584	-0.0795773	-0.0975008	-0.055363	-0.0570124
141	0.0282	-0.0601338	-0.0606467	-0.0599987	-0.0599979	-0.0599852	-0.0581578	-0.0794649	-0.0975156	-0.0553337	-0.0570011
142	0.0284	-0.0601324	-0.0606488	-0.0599987	-0.0599979	-0.0599858	-0.0581572	-0.0793534	-0.0975296	-0.0553043	-0.0569897
143	0.0286	-0.0601311	-0.0606508	-0.0599987	-0.0599979	-0.0599863	-0.0581566	-0.0792427	-0.0975427	-0.0552749	-0.0569782
144	0.0288	-0.0601298	-0.0606528	-0.0599987	-0.0599979	-0.0599869	-0.058156	-0.0791327	-0.0975551	-0.0552455	-0.0569665
145	0.029	-0.0601285	-0.0606549	-0.0599987	-0.0599979	-0.0599874	-0.0581558	-0.0790236	-0.0975668	-0.0552161	-0.0569548
146	0.0292	-0.0601273	-0.060657	-0.0599987	-0.0599979	-0.0599879	-0.0581557	-0.0789154	-0.0975777	-0.0551867	-0.0569429
147	0.0294	-0.0601261	-0.0606591	-0.0599987	-0.0599979	-0.0599884	-0.0581555	-0.078808	-0.097588	-0.0551573	-0.056931
148	0.0296	-0.060125	-0.0606612	-0.0599987	-0.0599979	-0.0599888	-0.0581554	-0.0787015	-0.0975975	-0.055128	-0.0569189
149	0.0298	-0.0601239	-0.0606634	-0.0599987	-0.0599979	-0.0599893	-0.0581552	-0.0785959	-0.0976065	-0.0550987	-0.0569068
150	0.03	-0.0601229	-0.0606656	-0.0599987	-0.0599979	-0.0599897	-0.0581555	-0.0784912	-0.0976147	-0.0550694	-0.0568946
151	0.0302	-0.0601219	-0.0606678	-0.0599987	-0.0599979	-0.0599901	-0.0581558	-0.0783874	-0.0976224	-0.0550402	-0.0568823
152	0.0304	-0.060121	-0.06067	-0.0599987	-0.0599979	-0.0599905	-0.058156	-0.0782845	-0.0976295	-0.055011	-0.0568699
153	0.0306	-0.0601201	-0.0606722	-0.0599987	-0.0599979	-0.0599908	-0.0581563	-0.0781825	-0.097636	-0.0549819	-0.0568574
154	0.0308	-0.0601193	-0.0606745	-0.0599987	-0.0599979	-0.0599912	-0.0581565	-0.0780813	-0.097642	-0.0549528	-0.0568448
155	0.031	-0.0601184	-0.0606767	-0.0599987	-0.0599979	-0.0599915	-0.0581571	-0.0779811	-0.0976475	-0.0549238	-0.0568321
156	0.0312	-0.0601177	-0.060679	-0.0599987	-0.0599979	-0.0599919	-0.0581578	-0.0778819	-0.0976524	-0.0548948	-0.0568194
157	0.0314	-0.0601169	-0.0606813	-0.0599987	-0.0599979	-0.0599922	-0.0581584	-0.0777835	-0.0976568	-0.0548659	-0.0568066
