TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
134	0.0268	-0.0578753	-0.0578588	-0.0574126	-0.0574126	-0.0558667	-0.0597978	-0.0775168	-0.097262	-0.0571569	-0.0552184
135	0.027	-0.0578746	-0.0578526	-0.0574104	-0.0574104	-0.0558957	-0.0598057	-0.0774538	-0.0972957	-0.0571466	-0.0551924
136	0.0272	-0.057874	-0.0578465	-0.0574084	-0.0574084	-0.0559235	-0.0598133	-0.0773909	-0.0973284	-0.0571363	-0.0551664
137	0.0274	-0.0578735	-0.0578405	-0.0574064	-0.0574064	-0.0559502	-0.0598206	-0.077328	-0.0973599	-0.0571258	-0.0551405
138	0.0276	-0.0578731	-0.0578347	-0.0574045	-0.0574045	-0.0559759	-0.0598277	-0.0772649	-0.0973904	-0.0571152	-0.0551146
139	0.0278	-0.0578728	-0.0578289	-0.0574027	-0.0574027	-0.0560005	-0.0598344	-0.0772016	-0.0974199	-0.0571044	-0.0550886
140	0.028	-0.0578726	-0.0578232	-0.0574008	-0.0574008	-0.0560257	-0.0598409	-0.0771381	-0.0974483	-0.0570935	-0.0550627
141	0.0282	-0.0578725	-0.0578176	-0.0573989	-0.0573989	-0.0560499	-0.0598472	-0.0770746	-0.0974756	-0.0570825	-0.0550368
142	0.0284	-0.0578725	-0.0578121	-0.0573972	-0.0573972	-0.0560731	-0.0598532	-0.0770109	-0.097502	-0.0570714	-0.0550109
143	0.0286	-0.0578726	-0.0578066	-0.0573955	-0.0573955	-0.0560954	-0.0598589	-0.076947	-0.0975274	-0.0570601	-0.0549851
144	0.0288	-0.0578729	-0.0578013	-0.0573938	-0.0573938	-0.0561168	-0.0598644	-0.076883	-0.0975519	-0.0570488	-0.0549593
145	0.029	-0.0578732	-0.0577961	-0.0573921	-0.0573921	-0.056138	-0.0598698	-0.0768187	-0.0975754	-0.0570373	-0.0549334
146	0.0292	-0.0578736	-0.057791	-0.0573905	-0.0573905	-0.0561584	-0.0598749	-0.0767542	-0.097598	-0.0570257	-0.0549077
147	0.0294	-0.057874	-0.0577859	-0.0573889	-0.0573889	-0.0561781	-0.0598798	-0.0766895	-0.0976197	-0.057014	-0.0548819
148	0.0296	-0.0578746	-0.057781	-0.0573874	-0.0573874	-0.0561969	-0.0598845	-0.0766247	-0.0976406	-0.0570022	-0.0548562
149	0.0298	-0.0578753	-0.0577762	-0.0573859	-0.0573859	-0.056215	-0.059889	-0.0765596	-0.0976606	-0.0569903	-0.0548305
150	0.03	-0.057876	-0.0577714	-0.0573844	-0.0573844	-0.0562322	-0.0598934	-0.0764942	-0.0976797	-0.0569783	-0.0548048
151	0.0302	-0.0578769	-0.0577668	-0.057383	-0.057383	-0.0562488	-0.0598975	-0.0764286	-0.0976981	-0.0569662	-0.0547792
152	0.0304	-0.0578778	-0.0577622	-0.0573816	-0.0573816	-0.0562648	-0.0599016	-0.0763627	-0.0977156	-0.0569539	-0.0547536
153	0.0306	-0.0578788	-0.0577578	-0.0573803	-0.0573803	-0.0562801	-0.0599054	-0.0762966	-0.0977324	-0.0569416	-0.0547281
154	0.0308	-0.0578798	-0.0577534	-0.057379	-0.057379	-0.0562948	-0.0599091	-0.0762302	-0.0977484	-0.0569292	-0.0547026
155	0.031	-0.057881	-0.0577491	-0.0573778	-0.0573778	-0.056308	-0.0599127	-0.0761636	-0.0977637	-0.0569167	-0.0546771
156	0.0312	-0.0578822	-0.0577449	-0.0573766	-0.0573766	-0.0563208	-0.0599161	-0.0760966	-0.0977782	-0.0569041	-0.0546517
157	0.0314	-0.0578835	-0.0577409	-0.0573754	-0.0573754	-0.056333	-0.0599194	-0.0760294	-0.0977921	-0.0568914	-0.0546263
158	0.0316	-0.0578849	-0.0577369	-0.0573743	-0.0573743	-0.0563448	-0.0599226	-0.0759618	-0.0978053	-0.0568786	-0.0546009
159	0.0318	-0.0578863	-0.057733	-0.0573732	-0.0573732	-0.0563561	-0.0599256	-0.075894	-0.0978178	-0.0568658	-0.0545756
160	0.032	-0.0578878	-0.0577292	-0.0573721	-0.0573721	-0.0563654	-0.0599285	-0.0758259	-0.0978297	-0.0568528	-0.0545503
161	0.0322	-0.0578894	-0.0577255	-0.0573711	-0.0573711	-0.0563743	-0.0599313	-0.0757575	-0.0978409	-0.0568398	-0.0545251
162	0.0324	-0.057891	-0.0577219	-0.0573701	-0.0573701	-0.0563828	-0.059934	-0.0756887	-0.0978515	-0.0568267	-0.0544999
163	0.0326	-0.0578927	-0.0577183	-0.0573692	-0.0573692	-0.0563911	-0.0599366	-0.0756196	-0.0978616	-0.0568135	-0.0544748
164	0.0328	-0.0578945	-0.0577149	-0.0573683	-0.0573683	-0.056399	-0.0599391	-0.0755502	-0.097871	-0.0568003	-0.0544497
165	0.033	-0.0578964	-0.0577116	-0.0573674	-0.0573674	-0.0564043	-0.0599415	-0.0754806	-0.0978799	-0.0567869	-0.0544247
166	0.0332	-0.0578983	-0.0577083	-0.0573666	-0.0573666	-0.0564095	-0.0599438	-0.0754107	-0.0978882	-0.0567735	-0.0543997
167	0.0334	-0.0579002	-0.0577052	-0.0573658	-0.0573658	-0.0564144	-0.059946	-0.0753403	-0.097896	-0.05676	-0.0543747
168	0.0336	-0.0579022	-0.0577021	-0.0573651	-0.0573651	-0.0564191	-0.0599481	-0.0752696	-0.0979033	-0.0567465	-0.0543498
169	0.0338	-0.0579043	-0.0576992	-0.0573644	-0.0573644	-0.0564237	-0.0599501	-0.0751987	-0.0979101	-0.0567329	-0.054325
170	0.034	-0.0579065	-0.0576963	-0.0573637	-0.0573637	-0.0564251	-0.0599521	-0.0751277	-0.0979164	-0.0567192	-0.0543001
171	0.0342	-0.0579087	-0.0576935	-0.0573631	-0.0573631	-0.0564265	-0.059954	-0.0750562	-0.0979223	-0.0567054	-0.0542754
