source	target	weight
W4211214843	W2074071999	1
W4211214843	W2081235375	1
W4211214843	W2086155025	1
W4211214843	W2094137255	1
W4211214843	W2101864862	1
W4211214843	W2106332413	1
W4211214843	W2117553976	1
W4211214843	W2120815846	1
W4211214843	W2136465646	1
W4211214843	W2141290457	1
W4211214843	W2159240874	1
W4211214843	W2169109050	1
W4211214843	W2289996588	1
W4211214843	W2466671176	1
W4211214843	W2478562489	1
W1573003972	W1512811199	1
W1573003972	W1973434807	1
W1573003972	W2093686814	1
W1523660890	W2101864862	1
W3116521705	W1475996878	1
W3116521705	W2093435740	1
W3116521705	W2115866269	1
W2400517300	W3116521705	1
W2402403182	W3116521705	1
W3116521705	W2604433691	1
W3116521705	W2914580701	1
W165335459	W1963741618	1
W165335459	W1975840128	1
W165335459	W1977331952	1
W165335459	W2042314925	1
W165335459	W2051628266	1
W165335459	W2062365428	1
W165335459	W2093435740	1
W165335459	W2127110152	1
W165335459	W2145648903	1
W165335459	W2165007430	1
W165335459	W2265032157	1
W2953635476	W1977331952	1
W2953635476	W2136120438	1
W3116599766	W312955849	1
W3116599766	W1475996878	1
W3116599766	W2025842514	1
W3116599766	W2037050168	1
W3116599766	W2042314925	1
W3116599766	W2049855535	1
W3116599766	W2056290204	1
W3116599766	W2093435740	1
W3116599766	W2604433691	1
W3116599766	W2743573280	1
W3116599766	W2873001395	1
W3116599766	W2914580701	1
W1724705168	W365407947	1
W1724705168	W1967425026	1
W1724705168	W1974859321	1
W1724705168	W1975183367	1
W1724705168	W2014061840	1
W1724705168	W2014729386	1
W1724705168	W2020910495	1
W1724705168	W2026014826	1
W1724705168	W2049230750	1
W1724705168	W2068733876	1
W1724705168	W2072985771	1
W1724705168	W2075072522	1
W1724705168	W2076879580	1
W1724705168	W2082605003	1
W1724705168	W2086155025	1
W1724705168	W2103127878	1
W1724705168	W2110198466	1
W1724705168	W2127735752	1
W1724705168	W2159240874	1
W1724705168	W2162304282	1
W1724705168	W2472109575	1
W1724705168	W2492299531	1
W1735741754	W170956600	1
W1735741754	W1637203540	1
W1724705168	W1735741754	1
W1735741754	W1967425026	1
W1735741754	W1970087762	1
W1735741754	W1973862785	1
W1735741754	W1975183367	1
W1735741754	W1980379278	1
W1735741754	W1981746040	1
W1735741754	W1982508615	1
W1735741754	W1993420015	1
W1735741754	W1997500899	1
W1735741754	W1999560196	1
W1735741754	W2000013699	1
W1735741754	W2002316126	1
W1735741754	W2006008614	1
W1735741754	W2006679284	1
W1735741754	W2007769909	1
W1735741754	W2014061840	1
W1735741754	W2014729386	1
W1735741754	W2017516920	1
W1735741754	W2018959254	1
W1735741754	W2020910495	1
W1735741754	W2026014826	1
W1735741754	W2032957079	1
W1735741754	W2037080969	1
W1735741754	W2037428536	1
W1735741754	W2045391660	1
W1735741754	W2045705935	1
W1735741754	W2068733876	1
W1735741754	W2069091115	1
W1735741754	W2070597621	1
W1735741754	W2072985771	1
W1735741754	W2075367659	1
W1735741754	W2076879580	1
W1735741754	W2078450592	1
W1735741754	W2082605003	1
W1735741754	W2085214578	1
W1735741754	W2086155025	1
W1735741754	W2092114155	1
W1735741754	W2094137255	1
W1735741754	W2103103180	1
W1735741754	W2110198466	1
W1735741754	W2128945098	1
W1735741754	W2137825350	1
W1735741754	W2141974690	1
W1735741754	W2145653840	1
W1735741754	W2159240874	1
W1735741754	W2162304282	1
W1735741754	W2168071184	1
W1735741754	W2171759509	1
W1735741754	W2196314719	1
W1735741754	W2303850821	1
W1735741754	W2334963168	1
W1735741754	W2340754523	1
W1735741754	W2407954654	1
W1735741754	W2409197843	1
W1735741754	W2416698490	1
W1735741754	W2438937308	1
W1735741754	W2462319068	1
W1735741754	W2466671176	1
W1735741754	W2470397711	1
W1735741754	W2474121502	1
W1735741754	W2616362470	1
W1878589647	W1637203540	1
W1878589647	W1799753769	1
W1878589647	W1814966798	1
W1878589647	W1936602813	1
W1878589647	W1942759249	1
W1878589647	W1993420015	1
W1878589647	W1999560196	1
W1878589647	W2006008614	1
W1878589647	W2037080969	1
W1878589647	W2045391660	1
W1878589647	W2082605003	1
W1878589647	W2085214578	1
W1878589647	W2085531075	1
W1878589647	W2086155025	1
W1878589647	W2092114155	1
W1878589647	W2141290457	1
W1878589647	W2159240874	1
W1878589647	W2168071184	1
W1878589647	W2174117054	1
W1878589647	W2466671176	1
W1878589647	W2474121502	1
W1878589647	W2492299531	1
W4210985909	W1977745889	1
W4210985909	W2019724270	1
W4210985909	W2103458434	1
W2115162941	W4210985909	1
W4200399668	W181439764	1
W4200399668	W1482575233	1
W4200399668	W1538485117	1
W4200399668	W1559505189	1
W4200399668	W1637203540	1
W4200399668	W1675839706	1
W4200399668	W1724705168	1
W4200399668	W1754927033	1
W4200399668	W1758809234	1
W4200399668	W1814966798	1
W4200399668	W1829502189	1
W4200399668	W1872061170	1
W4200399668	W1895590810	1
W4200399668	W1904955064	1
W4200399668	W1936602813	1
W4200399668	W1953111155	1
W4200399668	W1966178566	1
W4200399668	W1967425026	1
W4200399668	W1969232476	1
W4200399668	W1970087762	1
W4200399668	W1972697076	1
W4200399668	W1973862785	1
W4200399668	W1974859321	1
W4200399668	W1975183367	1
W4200399668	W1976230995	1
W4200399668	W1976915307	1
W4200399668	W1979026904	1
W4200399668	W1979766464	1
W4200399668	W1980379278	1
W4200399668	W1981426699	1
W4200399668	W1981746040	1
W4200399668	W1986253312	1
W4200399668	W1993420015	1
W4200399668	W1994097308	1
W4200399668	W1997500899	1
W4200399668	W1999560196	1
W4200399668	W2001556607	1
W4200399668	W2001784063	1
W4200399668	W2006008614	1
W4200399668	W2006679284	1
W4200399668	W2007769909	1
