id	label	doi	year	first_author	weight	x	y	cluster	source
W2011024659	An analysis of the sources of musculoskeletal system impedance	10.1016/0021-9290(88)90248-5	1988	Winters	88	0.523948	0.520213	5	task5import
W2108315391	Five basic muscle activation patterns account for muscle activity during human locomotion	10.1113/jphysiol.2003.057174	2004	Ivanenko	1102	0.505046	0.506854	5	originals99
W122204220	A Soft-Body Controller with Ubiquitous Sensor Feedback	10.1007/978-3-642-31525-1_4	2012	Boxerbaum	5	0.513211	0.498145	1	rest383
W2312307089	Proprioceptive Feedback and Preferred Patterns of Human Movement	10.1097/jes.0b013e3182724bb0	2013	Dean	38	0.490465	0.511042	3	task5import
W2012174917	Electrophysiology of a Dendritic Neuron Model	10.1016/s0006-3495(62)86953-7	1962	Rall	505	0.517714	0.488438	6	task5import
W2135959084	MAV stability augmentation using weighted outputs from distributed hair sensor arrays	10.1109/acc.2010.5531002	2010	Keshavan	13	0.356254	0.407651	8	task5import
W1966624173	Bifurcations in Morris–Lecar neuron model	10.1016/j.neucom.2005.03.006	2006	Tsumoto	250	0.517471	0.489109	6	task5import
W2095768716	Population Dynamics of Spiking Neurons: Fast Transients, Asynchronous States, and Locking	10.1162/089976600300015899	2000	Gerstner	439	0.519712	0.497566	1	task5import
W3000302501	Identification of the human postural control system through stochastic trajectory optimization	10.1016/j.jneumeth.2020.108580	2020	Wang	7	0.519175	0.517924	5	task5import
W2830549441	Emulating Balance Control Observed in Human Test Subjects with a Neural Network	10.1007/978-3-319-95972-6_21	2000	Hilts	2	0.512104	0.507871	1	rest383
W2904012664	Central pattern generators in the brainstem and spinal cord: an overview of basic principles, similarities and differenc	10.1515/revneuro-2017-0102	2019	Steuer	120	0.500578	0.502100	2	rest383
W2137492084	A robotic device for understanding neuromechanical interactions during standing balance control.	10.1088/1748-3182/3/2/026002	2008	Scrivens	19	0.511641	0.512128	5	task5import
W2029798526	Human lumbar cord circuitries can be activated by extrinsic tonic input to generate locomotor-like activity	10.1016/j.humov.2007.01.005	2007	Minassian	207	0.499936	0.506018	7	originals99
W2149784701	Modelling spinal circuitry involved in locomotor pattern generation: insights from the effects of afferent stimulation	10.1113/jphysiol.2006.118711	2006	Rybak	229	0.501790	0.503021	3	originals99
