"key","type","title","DOI","date","pub"
"WT5T8CJT","journalArticle","Learning to expect the unexpected: rapid updating in primate cerebellum during voluntary self-motion","10.1038/nn.4077","9/2015","Nature Neuroscience"
"9REJ2LJP","journalArticle","Neural control of locomotion and training-induced plasticity after spinal and cerebral lesions.","10.1016/j.clinph.2010.01.039","2010-10-01","Clinical Neurophysiology"
"ZUPHNMP7","journalArticle","Plasticity of connections underlying locomotor recovery after central and/or peripheral lesions in the adult mammals","10.1098/rstb.2006.1889","2006-09-29","Philosophical Transactions of the Royal Society B"
"GKNZANUN","journalArticle","An electromyographic analysis of muscular activity in the hindlimb of the cat during unrestrained locomotion.","10.1111/j.1748-1716.1969.tb04415.x","1969-04-01","Acta Physiologica Scandinavica"
"3BWPHTY9","journalArticle","A Neuromechanical Rat Model with a Complete Set of Hind Limb Muscles","10.1007/978-3-319-95972-6_57","2018-07-17",
"WPX6WYWS","journalArticle","Role of Proprioceptive Signals From an Insect Femur-Tibia Joint in Patterning Motoneuronal Activity of an Adjacent Leg Joint","10.1152/jn.1999.81.4.1856","1999-04-01","Journal of Neurophysiology"
"FZZ5QS3A","journalArticle","How deletions in a model could help explain deletions in the laboratory.","10.1152/jn.00888.2005","2006-01-01","Journal of Neurophysiology"
"6TZ6T98B","journalArticle","Control for multifunctionality: bioinspired control based on feeding in Aplysia californica","10.1007/s00422-020-00851-9","2020","Biological Cybernetics"
"BKJBDFLY","journalArticle","Actions from group II muscle afferents during fictive locomotion are not mediated through the short latency flexion reflex pathways","","1995-09-24","The Society for Neuroscience Abstracts"
"QD6Q6WVB","journalArticle","Flexor and Extensor Ankle Afferents Broadly Innervate Locomotor Spinal Shox2 Neurons and Induce Similar Effects in Neonatal Mice.","10.3389/fncel.2019.00452","2019-10-09","Frontiers in Cellular Neuroscience"
"H45PDZF9","journalArticle","Physiologically based controller for generating overground locomotion using functional electrical stimulation.","10.1152/jn.01177.2006","2007-03-01","Journal of Neurophysiology"
"7GL2LCK7","journalArticle","Loading the Limb During Rhythmic Leg Movements Lengthens the Duration of Both Flexion and Extension in Human Infants","10.1152/jn.00891.2006","2007-02-01","Journal of Neurophysiology"
"N5GQTCCR","journalArticle","Contribution of load and length related manipulations to muscle responses during force perturbations","10.14288/1.0071394","2010-01-01",
"LQKXSJII","journalArticle","Computing Motion Dependent Afferent Activity During Cat Locomotion Using a Forward Dynamics Musculoskeletal Model","10.1007/978-1-4939-3267-2_10","2016-01-01",
"X43JRQMC","journalArticle","Load Detectors and Their Reflexes During Gait in Cat and Man","10.1007/978-94-010-0870-9_20","2000-01-01",
"23ZX8RAS","journalArticle","Reflex control of locomotion as revealed by stimulation of cutaneous afferents in spontaneously walking premammillary cats.","10.1152/jn.1977.40.4.737","1977-07-01","Journal of Neurophysiology"
"2EKAS7TD","journalArticle","Mechanical entrainment of fictive locomotion in the decerebrate cat.","10.1152/jn.1994.71.6.2074","1994-06-01","Journal of Neurophysiology"
"5GD7MT35","journalArticle","Powered artificial knee with agonist-antagonist actuation","","2010-02-01",
"745GNY85","journalArticle","Leg Coordination Mechanisms in the Stick Insect Applied to Hexapod Robot Locomotion","10.1177/105971239300100404","1993-03-01","Adaptive Behavior"
"3B9KKRVM","journalArticle","Vertebrate Pattern Generation: Overview.","","2014-01-01",
"DJVVU4XM","journalArticle","Multisensory control of spinal reflex pathways.","10.1016/s0079-6123(08)60803-1","1979-01-01","Progress in Brain Research"
"J7R2GK58","journalArticle","Functional role of muscle reflexes for force generation in the decerebrate walking cat","","2000","Journal of Physiology"
"IVCJI25F","journalArticle","A Dynamic Neural Network Designed Using Analytical Methods Produces Dynamic Control Properties Similar to an Analogous Classical Controller","10.1109/lcsys.2018.2871126","2019-04-01",
"9JWDS7G7","journalArticle","Intracellular analysis of reflex pathways underlying the stumbling corrective reaction during fictive locomotion in the cat.","10.1152/jn.00176.2005","2005-09-01","Journal of Neurophysiology"
"9PTWZHBS","journalArticle","Peripheral and Central Control of Flexor Digitorum Longus and Flexor Hallucis Longus Motoneurons: The Synaptic Basis of Functional Diversity","10.1007/bf00235825","1984-01-01","Experimental Brain Research"
"FI8C5SEW","journalArticle","A neuromechanical model exploring the role of the common inhibitor motor neuron in insect locomotion.","10.1007/s00422-019-00811-y","2020-02-01","Biological Cybernetics"
"2DI74HUG","journalArticle","Locomotor Rhythm Generation Linked to the Output of Spinal Shox2 Excitatory Interneurons","10.1016/j.neuron.2013.08.015","2013-11-20","Neuron"
"MH6JNHFW","journalArticle","Contribution of stretch reflexes to locomotor control: a modeling study","10.1007/s00422-003-0449-z","2004-02-01","Biological Cybernetics"
"IYTYN9G5","journalArticle","Postnatal Phenotype and Localization of Spinal Cord V1 Derived Interneurons","10.1002/cne.20711","2005-12-12","The Journal of Comparative Neurology"
"CIHYZYIG","journalArticle","Initiation of locomotion in mammals.","10.1111/j.1749-6632.1998.tb09040.x","1998-11-01","Annals of the New York Academy of Sciences"
"GWGG4UUT","journalArticle","What Can Bidirectional Walking Tell Us about Central Pattern Generators?","10.1007/s11055-023-01357-0","2022-10-01",
"5QDJCXTI","journalArticle","A physical model of sensorimotor interactions during locomotion.","10.1088/1741-2560/9/4/046011","2012-08-01","Journal of Neural Engineering"
"EFAKJFLV","journalArticle","Hybrid terrain-adaptive lower-extremity systems","","2009-09-01",
"YZUN3BA9","journalArticle","Sensorimotor Integration in the Spinal Cord, from Behaviors to Circuits: New Tools to Close the Loop?","10.1007/978-3-319-12913-6_8","2015-01-01",
"XTDMFMYD","journalArticle","Dynamic Sensorimotor Interactions in Locomotion","10.1152/physrev.00028.2005","2006-01-01","Physiological Reviews"
