"key","parent","linkMode","filename","contentType"
"YWIVEDSQ","REGSEJ9H","imported_url","Romero et al. - 2020 - FOUR-BAR MECHANISM'S ROTATION CENTER DETERMINATION.pdf","application/pdf"
"EW8UJ874","NTYS8YE9","imported_url","01691864.2018.html","text/html"
"3ZECQB39","PU3EZ34J","imported_url","Sherman et al. - 2013 - What is a Moment Arm Calculating Muscle Effective.pdf","application/pdf"
"GDZERGNJ","2BM9Y85F","imported_url","S0021929003004809.html","text/html"
"GAK4A5US","PCAQV2VH","imported_file","Delp et al. - 1990 - An interactive graphics-based model of the lower e.pdf","application/pdf"
"9AB7WWKP","B6YKTXU9","imported_file","Seth et al. - 2011 - OpenSim a musculoskeletal modeling and simulation.pdf","application/pdf"
"ZA6TMGSB","FKNMJZWQ","imported_url","0021929089901796.html","text/html"
"5U7SJSXZ","FKNMJZWQ","imported_file","Yamaguchi and Zajac - 1989 - A planar model of the knee joint to characterize t.pdf","application/pdf"
"46SMH2CY","KBA7K3H2","imported_url","978-3-319-63537-8_35.html","text/html"
"W24AIPGJ","KBA7K3H2","imported_url","Steele et al. - 2017 - Development of a Bio-inspired Knee Joint Mechanism.pdf","application/pdf"
"MKC5XHN4","VTHJQFLI","imported_file","Scharzenberger - 2019 - Design of a Canine Inspired Quadruped Robot as a P.pdf","application/pdf"
"PMPR5TC7","3DU2C6F7","imported_url","Winters - Hill-Based Muscle Models A Systems Engineering Perspective.pdf","application/pdf"
