TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
161	0.0322	-0.0574818	-0.0572704	-0.0568074	-0.0568074	-0.0571574	-0.0589429	-0.0774268	-0.0957911	-0.056638	-0.0546737
162	0.0324	-0.0574799	-0.0572627	-0.0568024	-0.0568024	-0.0571745	-0.0589562	-0.077376	-0.0958112	-0.0566235	-0.0546507
163	0.0326	-0.0574782	-0.057255	-0.0567976	-0.0567976	-0.0571908	-0.058969	-0.077325	-0.0958312	-0.056609	-0.0546276
164	0.0328	-0.0574765	-0.0572475	-0.0567929	-0.0567929	-0.0572065	-0.0589813	-0.0772735	-0.0958511	-0.0565945	-0.0546047
165	0.033	-0.0574749	-0.0572402	-0.0567878	-0.0567878	-0.0572214	-0.058996	-0.0772218	-0.095871	-0.05658	-0.0545817
166	0.0332	-0.0574734	-0.0572329	-0.0567829	-0.0567829	-0.0572357	-0.0590101	-0.0771697	-0.0958909	-0.0565654	-0.0545588
167	0.0334	-0.057472	-0.0572258	-0.0567782	-0.0567782	-0.0572494	-0.0590237	-0.0771172	-0.095911	-0.0565509	-0.0545359
168	0.0336	-0.0574706	-0.0572188	-0.0567737	-0.0567737	-0.0572626	-0.0590367	-0.0770644	-0.095931	-0.0565363	-0.054513
169	0.0338	-0.0574694	-0.0572119	-0.0567693	-0.0567693	-0.0572753	-0.0590492	-0.0770114	-0.095951	-0.0565218	-0.0544901
170	0.034	-0.0574682	-0.0572052	-0.0567646	-0.0567646	-0.0572867	-0.0590641	-0.076958	-0.0959708	-0.0565072	-0.0544673
171	0.0342	-0.057467	-0.0571985	-0.05676	-0.05676	-0.0572977	-0.0590784	-0.0769043	-0.0959908	-0.0564927	-0.0544445
172	0.0344	-0.057466	-0.057192	-0.0567556	-0.0567556	-0.0573082	-0.0590921	-0.0768503	-0.0960109	-0.0564781	-0.0544218
173	0.0346	-0.057465	-0.0571856	-0.0567514	-0.0567514	-0.0573184	-0.0591052	-0.0767959	-0.0960309	-0.0564636	-0.054399
174	0.0348	-0.0574641	-0.0571794	-0.0567473	-0.0567473	-0.0573281	-0.0591179	-0.0767414	-0.0960509	-0.056449	-0.0543763
175	0.035	-0.0574632	-0.0571732	-0.0567429	-0.0567429	-0.0573362	-0.0591328	-0.0766866	-0.0960708	-0.0564345	-0.0543536
