TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
12662	2.5324	-0.0562779	-0.06	-0.0571957	-0.0611503
12663	2.5326	-0.0562832	-0.06	-0.0572	-0.0611452
12664	2.5328	-0.0562885	-0.06	-0.0572042	-0.0611402
12665	2.533	-0.0562938	-0.06	-0.0572084	-0.0611352
12666	2.5332	-0.056299	-0.06	-0.0572126	-0.0611302
12667	2.5334	-0.0563042	-0.06	-0.0572167	-0.0611252
12668	2.5336	-0.0563093	-0.06	-0.0572209	-0.0611202
12669	2.5338	-0.0563144	-0.06	-0.0572249	-0.0611153
12670	2.534	-0.0563195	-0.06	-0.057229	-0.0611104
12671	2.5342	-0.0563245	-0.06	-0.057233	-0.0611055
12672	2.5344	-0.0563295	-0.06	-0.057237	-0.0611007
12673	2.5346	-0.0563344	-0.06	-0.0572409	-0.0610958
12674	2.5348	-0.0563393	-0.06	-0.0572448	-0.061091
12675	2.535	-0.0563442	-0.06	-0.0572487	-0.0610862
12676	2.5352	-0.056349	-0.06	-0.0572526	-0.0610815
12677	2.5354	-0.0563538	-0.06	-0.0572564	-0.0610767
12678	2.5356	-0.0563586	-0.06	-0.0572602	-0.061072
12679	2.5358	-0.0563633	-0.06	-0.0572639	-0.0610673
12680	2.536	-0.056368	-0.06	-0.0572676	-0.0610627
12681	2.5362	-0.0563727	-0.06	-0.0572713	-0.061058
12682	2.5364	-0.0563773	-0.06	-0.057275	-0.0610534
12683	2.5366	-0.0563819	-0.06	-0.0572786	-0.0610488
12684	2.5368	-0.0563864	-0.06	-0.0572822	-0.0610442
12685	2.537	-0.056391	-0.06	-0.0572858	-0.0610397
12686	2.5372	-0.0563954	-0.06	-0.0572894	-0.0610352
12687	2.5374	-0.0563999	-0.06	-0.0572929	-0.0610307
12688	2.5376	-0.0564043	-0.06	-0.0572964	-0.0610262
12689	2.5378	-0.0564087	-0.06	-0.0572998	-0.0610217
12690	2.538	-0.056413	-0.06	-0.0573033	-0.0610173
12691	2.5382	-0.0564174	-0.06	-0.0573067	-0.0610129
12692	2.5384	-0.0564216	-0.06	-0.05731	-0.0610085
12693	2.5386	-0.0564259	-0.06	-0.0573134	-0.0610041
12694	2.5388	-0.0564301	-0.06	-0.0573167	-0.0609998
12695	2.539	-0.0564343	-0.06	-0.05732	-0.0609955
12696	2.5392	-0.0564384	-0.06	-0.0573233	-0.0609912
12697	2.5394	-0.0564426	-0.06	-0.0573266	-0.0609869
12698	2.5396	-0.0564467	-0.06	-0.0573298	-0.0609827
12699	2.5398	-0.0564507	-0.06	-0.057333	-0.0609784
12700	2.54	-0.0564548	-0.06	-0.0573361	-0.0609742
12701	2.5402	-0.0564588	-0.06	-0.0573393	-0.0609701
12702	2.5404	-0.0564627	-0.06	-0.0573424	-0.0609659
12703	2.5406	-0.0564667	-0.06	-0.0573455	-0.0609618
12704	2.5408	-0.0564706	-0.06	-0.0573486	-0.0609577
12705	2.541	-0.0564745	-0.06	-0.0573517	-0.0609536
12706	2.5412	-0.0564783	-0.06	-0.0573547	-0.0609495
12707	2.5414	-0.0564821	-0.06	-0.0573577	-0.0609454
12708	2.5416	-0.0564859	-0.06	-0.0573607	-0.0609414
12709	2.5418	-0.0564897	-0.06	-0.0573636	-0.0609374
12710	2.542	-0.0564935	-0.06	-0.0573666	-0.0609334
12711	2.5422	-0.0564972	-0.06	-0.0573695	-0.0609295
12712	2.5424	-0.0565009	-0.06	-0.0573724	-0.0609255
12713	2.5426	-0.0565045	-0.06	-0.0573753	-0.0609216
12714	2.5428	-0.0565081	-0.06	-0.0573781	-0.0609177
12715	2.543	-0.0565118	-0.06	-0.057381	-0.0609138
12716	2.5432	-0.0565153	-0.06	-0.0573838	-0.06091
12717	2.5434	-0.0565189	-0.06	-0.0573866	-0.0609062
12718	2.5436	-0.0565224	-0.06	-0.0573893	-0.0609023
12719	2.5438	-0.0565259	-0.06	-0.0573921	-0.0608986
12720	2.544	-0.0565294	-0.06	-0.0573948	-0.0608948
12721	2.5442	-0.0565328	-0.06	-0.0573975	-0.060891
12722	2.5444	-0.0565363	-0.06	-0.0574002	-0.0608873
12723	2.5446	-0.0565397	-0.06	-0.0574029	-0.0608836
12724	2.5448	-0.0565431	-0.06	-0.0574055	-0.0608799
12725	2.545	-0.0565464	-0.06	-0.0574082	-0.0608762
12726	2.5452	-0.0565497	-0.06	-0.0574108	-0.0608726
12727	2.5454	-0.056553	-0.06	-0.0574134	-0.060869
12728	2.5456	-0.0565563	-0.06	-0.057416	-0.0608654
12729	2.5458	-0.0565596	-0.06	-0.0574185	-0.0608618
12730	2.546	-0.0565628	-0.06	-0.0574211	-0.0608582
12731	2.5462	-0.056566	-0.06	-0.0574236	-0.0608546
12732	2.5464	-0.0565692	-0.06	-0.0574261	-0.0608511
12733	2.5466	-0.0565724	-0.06	-0.0574286	-0.0608476
12734	2.5468	-0.0565755	-0.06	-0.0574311	-0.0608441
12735	2.547	-0.0565787	-0.06	-0.0574335	-0.0608406
12736	2.5472	-0.0565818	-0.06	-0.057436	-0.0608372
12737	2.5474	-0.0565848	-0.06	-0.0574384	-0.0608337
12738	2.5476	-0.0565879	-0.06	-0.0574408	-0.0608303
12739	2.5478	-0.0565909	-0.06	-0.0574432	-0.0608269
12740	2.548	-0.056594	-0.06	-0.0574455	-0.0608235
12741	2.5482	-0.056597	-0.06	-0.0574479	-0.0608202
